Gene
CDKN2A
AURKA
AURKB
AXIN2
CTNNB1
BIRC5
BMI1
BRCA1
BRCA2
BRIP1
MRPL36
BUB1B
CAT
CAV1
CCL11
CCL24
CCNB1
CCNB2
CCND1
CDC25A
CDC25B
CDH1
FZR1
CDK1
CDKN1A
CEBPB
CENPA
CENPF
FOS
CHEK1
CKS1B
CKS1BP7
MYC
MT-CO2
PTGS2
EXO1
FOXA1
FOXA2
FOXO1
GATA3
IGF1
MAPK8
KCNF1
UHMK1
LAMA4
OLR1
LOXL2
MCM3
MMP2
MMP7
MMP9
NANOG
NEDD4
NEK2
MYCN
POU5F1
CDKN2A
PLK1
PLK4
POLE2
PRDX3
RAD51
RFC4
RHOC
ROCK1
SKP2
SOD2
SOX2
TERT
TGFB1
TOP2A
PLAUR
VEGFA
KDR
XRCC1
