Gene
NRG1
FGF3
FGF10
GPR161
TBC1D3G
RIC8A
DYRK1B
AXL
NMRK2
SRC
CDK5R1
PRKACA
AKT1
PDK1
AKT2
CCND1
PPP1R3B
CRKL
CRB3
SRP54
YAP1
ZSCAN20
SMAD5
PIM3
PRKCZ
PIM1
SEMA4B
B4GALT6
NUDT3
NUDT10
PIH1D3
MFSD5
C9orf24
C1QL2
GOLGA1
KCNIP1
PSMD13
PRAMEF9
USP38
SLC6A20
CMTM2
SLC51A
PLEKHF1
